"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2008,1995,-13,146201.892290736
"2",2008,1996,-12,147355.815791808
"3",2008,1997,-11,148708.999832081
"4",2008,1998,-10,150096.546080277
"5",2008,1999,-9,151403.145327622
"6",2008,2000,-8,152672.757435101
"7",2008,2001,-7,153829.434831964
"8",2008,2002,-6,155006.259215348
"9",2008,2003,-5,156048.354724832
"10",2008,2004,-4,157242.205612607
"11",2008,2005,-3,158607.397504705
"12",2008,2006,-2,159537.523663498
"13",2008,2007,-1,160438.308520073
"14",2008,2008,0,161552.642098227
"15",2008,2009,1,162472.893186753
"16",2008,2010,2,163515.47607206
"17",2008,2011,3,164533.764322204
"18",2008,2012,4,165674.546844243
"19",2008,2013,5,166791.876386898
"20",2008,2014,6,168110.329596892
"21",2008,2015,7,169482.393981426
"22",2008,2016,8,170596.213218155
"23",2008,2017,9,171627.179014515
"24",2008,2018,10,172320.18278688
